,SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,N#CCC#N,7.59375,0.0,7.59375,0.0,0.4111635911481381,66.063,64.047,66.021798064,24,0,0.12221011624706095,-0.19719550231124405,0.19719550231124405,0.12221011624706095,1.2,1.6,1.6,14.255967595210322,10.548371686732507,1.6094152957729604,-1.4545626498997606,1.5945266907440425,-1.4650533644880106,4.848954199874365,1.3331087218920703,2.857271683437132,70.04663563528787,4.121320343559642,2.601533972186463,2.601533972186463,2.414213562373095,1.1543203766865053,1.1543203766865053,0.49300446131347475,0.49300446131347475,0.15811388300841894,0.15811388300841894,0.03535533905932737,0.03535533905932737,-1.02,11.245112497836532,3.98,2.9800000000000004,2.98,30.254294619560195,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,0.0,10.523783109476973,0.0,0.0,0.0,0.0,12.138442625584547,0.0,0.0,10.523783109476973,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,12.138442625584547,0.0,0.0,0.0,0.0,0.0,0.0,22.66222573506152,6.4208216229260096,0.0,0.0,0.0,0.0,47.58,0.0,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,12.138442625584547,0.0,0.0,10.523783109476973,0.0,0.0,0.0,15.1875,0.0,0.0,3.3125,0.0,0.0,0.0,0.3333333333333333,5,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0.42366000000000004,15.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,C1COCCO1,4.944444444444445,0.7777777777777778,4.944444444444445,0.7777777777777778,0.4157492501598946,88.106,80.04199999999999,88.052429496,36,0,0.07011439546557022,-0.37666763607345255,0.37666763607345255,0.07011439546557022,0.6666666666666666,1.0,1.1666666666666667,16.564300828554593,10.638571834466195,1.9381982860111924,-2.0933036854099747,1.8459039112320426,-2.158799402239841,4.3659799536361215,-0.033358205886512574,2.0,21.019550008653873,4.242640687119286,3.644923705673916,3.644923705673916,3.0,2.1547005383792515,2.1547005383792515,1.2247448713915892,1.2247448713915892,0.7440169358562925,0.7440169358562925,0.4398264056274473,0.4398264056274473,-0.08,34.3994618804395,4.088918918918919,2.157216946676406,0.9536924762600438,37.055336676503906,9.473725907600098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.427527858051672,9.473725907600098,0.0,0.0,0.0,0.0,0.0,26.427527858051672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.427527858051672,9.473725907600098,0.0,0.0,0.0,0.0,0.0,0.0,18.46,0.0,0.0,0.0,0.0,0.0,26.427527858051672,0.0,0.0,0.0,0.0,9.473725907600098,9.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.111111111111111,0.0,1.0,6,0,2,0,1,1,0,0,0,2,0,2,0,0,1,1,1,0.03320000000000001,21.637999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CN(C)N,4.944444444444445,1.5,4.944444444444445,1.5,0.2992187840448161,60.099999999999994,52.035999999999994,60.06874825599999,26,0,0.0010517997389187703,-0.2693149406792865,0.2693149406792865,0.0010517997389187703,1.5,1.5,1.5,15.350954607026564,11.197455575576708,1.5687547051065014,-1.9086834121876377,1.3714165775955545,-2.1843005547936043,4.008177895482168,0.4320995697312308,2.3237900077244498,8.75488750216347,3.5773502691896257,3.0245638646895836,3.0245638646895836,1.7320508075688772,1.152626080747077,1.152626080747077,0.9636113749942803,0.9636113749942803,0.0,0.0,0.0,0.0,-0.08,3.2451124978365313,3.9200000000000004,1.2624657534246575,253.91999999999993,26.17405352967722,0.0,0.0,0.0,0.0,0.0,0.0,10.851582794220771,0.0,0.0,0.0,0.0,0.0,14.09534396535438,0.0,0.0,0.0,0.0,5.008912523954532,5.842670270266239,0.0,14.09534396535438,0.0,0.0,0.0,5.842670270266239,0.0,0.0,0.0,19.104256489308913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.259999999999998,0.0,0.0,0.0,0.0,0.0,0.0,5.008912523954532,14.09534396535438,0.0,0.0,5.842670270266239,0.0,0.0,0.0,1.5,0.0,4.944444444444445,0.0,0.0,0.0,3.5555555555555554,1.0,4,2,2,0,0,0,0,0,0,2,1,2,0,0,0,0,0,-0.5783,17.874400000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,C1=CC=CC(O)=C1C(=O)OC2=CC=CC=C2,11.65268896447468,-0.5654629629629626,11.65268896447468,0.08015636810279636,0.6170368785141781,214.22,204.13999999999996,214.06299418,80,0,0.3468118641435122,-0.5070525222360159,0.5070525222360159,0.3468118641435122,0.9375,1.5625,2.25,16.53648277859084,10.180990294606143,2.115416599874679,-2.0444905437102214,2.181728788020109,-2.0782226499846796,5.932652999501439,0.07314635975522779,2.186811345762867,491.54071015476427,11.380468888623982,8.459862599134318,8.459862599134318,7.770856947829097,4.82401310515836,4.82401310515836,3.2197211392002463,3.2197211392002463,2.07771754010336,2.07771754010336,1.2968048289562628,1.2968048289562628,-2.2899999999999996,5744.988995136991,10.235362076049029,4.486277072858324,2.1998362076575533,92.92274052170427,9.843390348640755,17.062475158264807,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,30.33183534230805,24.26546827384644,0.0,0.0,14.637927532712578,5.969305287951849,0.0,0.0,0.0,0.0,0.0,60.160755107851486,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,0.0,11.075832682792555,0.0,0.0,10.357988675768818,54.59730361615449,0.0,0.0,0.0,46.53,5.969305287951849,9.901064578912528,0.0,11.3129633249809,5.749511833283905,0.0,12.13273413692322,36.39820241076966,6.06636706846161,0.0,4.736862953800049,5.082314814814815,0.0,11.65268896447468,9.458110985134795,0.15866024187452754,-0.19121834845049013,15.006110008818341,0.0,0.0,0.0,0.0,16,1,3,0,0,0,2,0,2,3,1,3,2,0,0,0,2,2.6114000000000006,59.50730000000002,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ClCCCCl,5.2172067901234565,0.6840277777777779,5.2172067901234565,0.6840277777777779,0.4790954302917468,112.98700000000001,106.939,111.98465555199999,32,0,0.023429490958601872,-0.12667174288054692,0.12667174288054692,0.023429490958601872,1.0,1.4,1.4,35.49682852928073,10.577067780715756,1.7169710586305034,-1.7505178028385069,1.8443044876044892,-1.703004337682486,6.19937862684129,1.1088623979601002,2.19060968716425,12.36452797660028,4.121320343559642,2.877249289578097,4.389107181615006,2.414213562373095,1.5345224838248486,2.6035674514745457,0.7315178636025008,1.4874468096209552,0.2672612419124243,0.801783725737273,0.05050762722761051,0.45456864504849476,0.58,11.245112497836532,5.579999999999999,4.58,4.58,42.07566771038611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,0.0,6.4208216229260096,11.760006889940678,0.0,0.0,23.20187978046503,0.0,0.0,0.0,6.4208216229260096,11.760006889940678,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,11.760006889940678,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.760006889940678,6.4208216229260096,0.0,0.0,0.0,0.0,23.20187978046503,0.0,10.434413580246913,0.0,0.0,0.0,1.3680555555555558,0.0,0.9197530864197532,0.0,0.0,1.0,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.8540999999999999,26.05699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CCC(O)(C)CC,9.131944444444445,-0.4166666666666665,9.131944444444445,0.4166666666666665,0.5606097975915727,102.17699999999999,88.065,102.104465068,44,0,0.06141295148533153,-0.3902053852586639,0.3902053852586639,0.06141295148533153,1.2857142857142858,1.5714285714285714,1.5714285714285714,16.28191631524052,10.011953327044694,2.117119662789761,-2.1678588215648302,2.1064555122969173,-2.1978305581045663,4.651463906065616,0.052109618116604174,3.3604351426960575,42.14170945007629,5.914213562373096,5.361427157873052,5.361427157873052,3.121320343559643,2.8449271413096215,2.8449271413096215,2.204048126139912,2.204048126139912,1.5233345472033855,1.5233345472033855,0.24999999999999994,0.24999999999999994,-0.04,26.838740541269832,6.96,2.3141072195146584,2.6311409395973158,45.35819535200859,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,19.765380445542643,0.0,5.601050810983688,5.106527394840706,0.0,0.0,0.0,0.0,39.21390565590758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.707578205824394,0.0,0.0,33.61285484492389,0.0,0.0,0.0,0.0,20.23,5.601050810983688,0.0,0.0,0.0,0.0,12.841643245852019,0.0,0.0,20.771211599071872,0.0,5.106527394840706,0.0,0.0,0.0,9.131944444444445,-0.4166666666666665,0.0,0.0,1.7013888888888888,5.833333333333333,0.0,1.0,7,1,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1.5574,31.205799999999982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,NC1=CC=C(F)C=C1,12.03111111111111,-0.2507407407407405,12.03111111111111,0.2507407407407405,0.5030676848790228,111.119,105.07099999999998,111.048427412,42,0,0.12285884280048658,-0.3987260786638387,0.3987260786638387,0.12285884280048658,1.125,1.625,2.0,19.142138128315306,10.309150764059444,1.8345857123961637,-1.8710567844639023,2.0127234822847875,-1.8171822811854401,5.359819275962015,0.627865437836278,3.0324555320336755,147.38833891467198,5.983127663125442,4.264715818957356,4.264715818957356,3.787693700234704,2.299024576145345,2.299024576145345,1.5515512235693263,1.5515512235693263,0.8700050935260351,0.8700050935260351,0.4627803245407954,0.4627803245407954,-1.05,70.79892376087899,5.09388489208633,1.8200415093161888,0.9641693455260449,46.936829219435914,5.733667477162185,5.817220841045895,0.0,0.0,0.0,0.0,0.0,4.39041504767482,0.0,0.0,0.0,24.26546827384644,5.687386274683562,0.0,4.39041504767482,5.687386274683562,0.0,0.0,0.0,0.0,5.733667477162185,30.082689114892332,0.0,0.0,5.733667477162185,10.077801322358383,0.0,0.0,0.0,0.0,5.817220841045895,0.0,24.26546827384644,0.0,0.0,0.0,26.02,0.0,4.39041504767482,0.0,5.817220841045895,5.687386274683562,0.0,24.26546827384644,0.0,0.0,0.0,5.733667477162185,12.03111111111111,0.0,0.0,0.0,5.849259259259259,-0.2507407407407405,5.703703703703703,0.0,0.0,0.0,0.0,8,2,1,0,0,0,1,0,1,1,1,2,0,0,0,0,1,1.4079,30.8124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CCC(O)=O,9.368055555555555,-0.74537037037037,9.368055555555555,0.2222222222222221,0.4908446664452931,74.079,68.031,74.036779432,30,0,0.302558437492056,-0.4812379170193394,0.4812379170193394,0.302558437492056,2.0,2.2,2.2,16.365026720551658,10.520033180841278,1.8038776923605178,-1.7142549621177308,1.6671241453129704,-1.8648595675508879,5.655632415552587,-0.13611234592932722,2.847378923087672,40.1577218810798,4.284457050376173,3.0625686671503685,3.0625686671503685,2.270055610029662,1.4883911147617317,1.4883911147617317,0.7472919338166268,0.7472919338166268,0.30245145030582543,0.30245145030582543,0.0,0.0,-0.53,9.65148445440323,4.469999999999999,1.7581844380403455,3.469999999999999,30.42489110886254,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,6.923737199690624,0.0,6.4208216229260096,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,13.344558822616634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.075832682792555,4.794537184071822,0.0,13.344558822616634,0.0,0.0,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,6.4208216229260096,0.0,0.0,0.0,6.923737199690624,0.0,0.0,5.106527394840706,0.0,0.0,9.368055555555555,7.722222222222222,0.0,-0.74537037037037,0.0,0.2222222222222221,1.599537037037037,0.0,0.6666666666666666,5,1,2,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0.481,17.9268,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,C1(Cl)=CC=CC(Cl)=C1C(=O)N,10.695925925925925,-0.6105555555555553,10.695925925925925,0.17669753086419782,0.7231955646976861,190.02899999999997,184.98899999999998,188.97481914,58,0,0.2512325089383721,-0.365506773407263,0.365506773407263,0.2512325089383721,1.2727272727272727,1.7272727272727273,2.0,35.496834730868095,10.19167786985823,2.09046029148437,-1.9953700343497918,2.2249434815158033,-2.1151280593790003,6.390792813983077,0.10003628493728936,3.318913173486668,278.2420897763861,8.430721420318147,5.473578313240822,6.98543620527773,5.12589765768623,2.8647806886922647,3.6207096347107193,1.9609094545097578,2.7753097079909703,1.2091619250790833,1.8391027134277955,0.733211021273945,1.3169163228387881,-0.73,255.67666789987047,8.36737098344693,3.1134565337919367,1.6427212711091828,73.9042904847134,5.733667477162185,0.0,0.0,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,0.0,29.268246848926644,12.13273413692322,0.0,15.608718119179649,4.794537184071822,29.109059509816536,0.0,0.0,5.733667477162185,0.0,0.0,33.80781932456448,0.0,0.0,5.733667477162185,0.0,0.0,23.20187978046503,5.907179729351506,0.0,0.0,10.357988675768818,18.19910120538483,10.045266627482652,0.0,0.0,43.09,5.907179729351506,4.794537184071822,0.0,15.608718119179649,0.0,0.0,0.0,18.19910120538483,0.0,0.0,28.935547257627217,0.0,11.278456790123455,10.695925925925925,0.5648148148148158,5.18429012345679,-0.6105555555555553,4.775956790123456,0.0,0.0,0.0,0.0,11,2,2,0,0,0,1,0,1,1,1,4,1,0,0,0,1,2.0923000000000003,44.9799,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,O=[N+](C1=CC=CC=C1)[O-],10.006481481481481,-0.41666666666666696,10.006481481481481,0.1365740740740744,0.4200757446342405,123.11099999999996,118.07099999999997,123.0320284,46,0,0.2689216270439583,-0.2583096384435056,0.2689216270439583,0.2583096384435056,1.2222222222222223,1.7777777777777777,2.111111111111111,16.62819856157923,10.320808823128257,1.9804749432820008,-1.8478890798510954,2.0623608540228284,-1.8426537791853181,5.2747120756173,-0.3844379048548909,2.981454614041131,207.5576620543373,6.69023444431199,4.650461522375813,4.650461522375813,4.304530452640311,2.4994387719430495,2.4994387719430495,1.5926589440218357,1.5926589440218357,0.9670121108598511,0.9670121108598511,0.5497102281601605,0.5497102281601605,-1.3800000000000001,129.22533870330605,5.751233595800525,2.2593342006647625,1.2528322001979002,52.08437884199676,0.0,0.0,0.0,0.0,5.687386274683562,0.0,10.114318268765572,0.0,0.0,0.0,18.19910120538483,0.0,12.13273413692322,4.923311048817671,4.923311048817671,5.687386274683562,0.0,0.0,0.0,0.0,0.0,40.44615361107362,0.0,0.0,0.0,5.687386274683562,0.0,0.0,4.923311048817671,0.0,10.114318268765572,0.0,30.33183534230805,0.0,0.0,0.0,43.14,4.923311048817671,10.114318268765572,0.0,5.687386274683562,0.0,0.0,12.13273413692322,18.19910120538483,0.0,0.0,0.0,0.0,0.0,9.589814814814815,10.006481481481481,0.1365740740740744,0.0,7.933796296296296,0.0,0.0,0.0,0.0,9,0,3,0,0,0,1,0,1,2,0,3,1,0,0,0,1,1.5948,33.0964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
